id,table_name,primary_id,desc,date_created,session_id,terminal_session_id,created_on,modified_on
70862,order_checks,18683,Receipt,"2025-06-24 20:14:54",267,268,"2025-06-24 20:14:54","2025-06-24 20:14:54"
70861,order_checks,18689,Receipt,"2025-06-24 20:09:10",267,268,"2025-06-24 20:09:10","2025-06-24 20:09:10"
70860,order_checks,18685,Receipt,"2025-06-24 20:00:28",267,268,"2025-06-24 20:00:28","2025-06-24 20:00:28"
70859,order_checks,18684,Receipt,"2025-06-24 19:59:49",267,268,"2025-06-24 19:59:49","2025-06-24 19:59:49"
70858,order_checks,18684,Receipt,"2025-06-24 19:59:45",267,268,"2025-06-24 19:59:45","2025-06-24 19:59:45"
70857,order_checks,18674,Receipt,"2025-06-24 19:51:05",267,268,"2025-06-24 19:51:05","2025-06-24 19:51:05"
70856,order_checks,18682,Receipt,"2025-06-24 19:49:02",267,268,"2025-06-24 19:49:02","2025-06-24 19:49:02"
70855,order_checks,18686,Receipt,"2025-06-24 19:44:40",267,268,"2025-06-24 19:44:40","2025-06-24 19:44:40"
70854,order_checks,18680,Receipt,"2025-06-24 19:42:38",267,268,"2025-06-24 19:42:38","2025-06-24 19:42:38"
70853,order_checks,18681,Receipt,"2025-06-24 19:42:07",267,268,"2025-06-24 19:42:07","2025-06-24 19:42:07"
70852,order_checks,18679,Receipt,"2025-06-24 19:41:12",267,268,"2025-06-24 19:41:12","2025-06-24 19:41:12"
70851,order_checks,18690,Receipt,"2025-06-24 19:33:01",267,268,"2025-06-24 19:33:01","2025-06-24 19:33:01"
70850,order_checks,18689,Receipt,"2025-06-24 19:32:50",267,268,"2025-06-24 19:32:50","2025-06-24 19:32:50"
70849,order_checks,18684,Receipt,"2025-06-24 19:32:21",267,268,"2025-06-24 19:32:21","2025-06-24 19:32:21"
70848,order_checks,18688,Receipt,"2025-06-24 19:32:11",267,268,"2025-06-24 19:32:11","2025-06-24 19:32:11"
70847,order_checks,18676,Receipt,"2025-06-24 19:30:38",267,268,"2025-06-24 19:30:38","2025-06-24 19:30:38"
70846,order_checks,18670,Receipt,"2025-06-24 19:28:43",267,268,"2025-06-24 19:28:43","2025-06-24 19:28:43"
70845,order_checks,18670,Receipt,"2025-06-24 19:28:39",267,268,"2025-06-24 19:28:39","2025-06-24 19:28:39"
70844,order_checks,18685,Receipt,"2025-06-24 19:27:11",267,268,"2025-06-24 19:27:11","2025-06-24 19:27:11"
70843,order_checks,18681,Receipt,"2025-06-24 19:26:08",267,268,"2025-06-24 19:26:08","2025-06-24 19:26:08"
70842,order_checks,18679,Receipt,"2025-06-24 19:25:58",267,268,"2025-06-24 19:25:58","2025-06-24 19:25:58"
70841,order_checks,18674,Receipt,"2025-06-24 19:25:52",267,268,"2025-06-24 19:25:52","2025-06-24 19:25:52"
70840,order_checks,18680,Receipt,"2025-06-24 19:25:44",267,268,"2025-06-24 19:25:44","2025-06-24 19:25:44"
70839,order_checks,18683,Receipt,"2025-06-24 19:25:30",267,268,"2025-06-24 19:25:30","2025-06-24 19:25:30"
